,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position of  Teachers by Educational Qualification        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender and Caste Distribution of Teachers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers Received In- service Training,,,,,,,,,,,,,,Professionally Trained Teachers,,Non-Teaching Assignment,
28,ANDHRA PRADESH                                    ,2814,EAST GODAVARI                                     ,2012-13,7155,1457,184,0,0,748,7427,0,3614,4347,55,0,12,469,3810,0,416,454,0,0,0,118,106,0,0,0,0,0,0,0,0,0,420,194,7,0,1,41,198,27,1456,642,10,0,2,134,320,44,6918,4119,38,0,2,626,5972,209,2272,1163,155,0,5,391,4644,90,38,42,8,0,2,19,158,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390,2939,124,0,7,569,6771,5714,3221,94,0,5,642,4521,0,0,0,0,0,0,0,37,46,1,0,0,70,2,44,52,20,0,0,54,49,0,0,0,0,0,0,0,956,577,31,0,1,73,1108,1185,704,21,0,3,102,819,626,94,2,0,0,295,179,391,73,1,0,0,173,156,3691,803,10,0,2,141,1837,2659,517,2,0,2,71,1160,28256,324,13,383
28,ANDHRA PRADESH                                    ,2817,GUNTUR                                            ,2012-13,6960,1931,351,0,5311,0,0,0,2210,1283,190,0,3007,53,113,0,853,1153,2046,0,281,50,0,0,0,0,0,0,0,0,0,0,292,139,54,0,288,8,3,342,954,312,59,0,351,8,0,398,5682,2237,468,0,4277,32,76,2135,2231,893,377,0,3160,5,34,744,29,24,34,0,106,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4211,1640,479,0,4576,28,64,4977,1965,513,0,3606,25,49,0,0,0,0,0,0,0,250,272,658,0,148,24,0,585,490,937,0,269,26,0,0,0,0,0,0,0,0,817,365,240,0,774,9,15,1177,501,300,0,748,9,5,263,90,30,0,139,3,0,179,59,19,0,115,0,0,3194,765,5,0,588,0,0,3006,788,1,0,446,0,0,21264,2693,12,461
28,ANDHRA PRADESH                                    ,2805,HYDERABAD                                         ,2012-13,2466,70,102,0,2751,0,46,0,6984,2659,1371,0,8208,37,212,0,547,169,79,0,97,0,0,0,6,0,0,0,2,0,0,0,403,139,20,0,213,0,4,151,1166,345,78,0,601,5,23,134,5910,1860,992,0,6175,15,136,102,2006,471,425,0,3817,17,95,38,147,50,36,0,209,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,535,215,0,3043,11,68,8282,2323,1336,0,7974,26,190,7,7,0,0,0,0,0,133,18,0,0,7,0,0,225,15,1,0,32,0,0,0,0,0,0,0,0,0,61,14,3,0,140,0,2,449,84,10,0,386,0,12,47,8,3,0,41,0,1,95,10,2,0,63,0,0,117,3,0,0,22,7,2,505,7,0,0,66,0,7,24160,194,19,147
28,ANDHRA PRADESH                                    ,2803,KARIMNAGAR                                        ,2012-13,4629,1992,342,0,7173,0,9,0,3910,3212,0,0,4431,0,34,0,134,68,0,0,37,0,0,0,0,0,0,0,0,0,0,0,300,219,0,0,201,0,0,99,1150,600,9,0,402,0,2,76,5142,3173,17,0,5703,0,26,360,1752,1151,151,0,4822,0,14,350,47,64,9,0,124,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,3046,128,0,7709,0,26,4316,2161,58,0,3543,0,17,0,0,0,0,0,0,0,93,33,63,0,53,0,0,189,32,93,0,336,0,0,0,0,0,0,0,0,0,519,405,44,0,897,0,4,655,344,32,0,490,0,2,196,82,17,0,178,0,0,125,35,5,0,84,0,0,1475,644,0,0,1064,0,5,987,376,0,0,426,0,1,23179,743,12,307
28,ANDHRA PRADESH                                    ,2810,KHAMMAM                                           ,2012-13,4922,2067,380,0,4997,0,0,0,2174,1195,117,0,2284,9,31,0,156,198,210,0,27,6,0,0,0,0,0,0,0,0,0,0,340,88,9,0,180,0,0,44,778,252,16,0,194,0,0,72,4347,2218,281,0,3744,6,27,440,1526,777,331,0,2879,3,4,140,15,10,4,0,39,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661,1875,299,0,4339,6,14,3345,1470,342,0,2697,3,17,0,0,0,0,0,0,0,138,46,24,0,25,4,0,108,69,42,0,247,2,0,0,0,0,0,0,0,0,535,266,65,0,598,1,1,615,261,91,0,426,0,0,1490,679,79,0,855,0,0,701,294,34,0,492,0,0,1186,534,1,0,319,0,0,751,260,0,0,202,0,0,17979,659,11,300
28,ANDHRA PRADESH                                    ,2816,KRISHNA                                           ,2012-13,4672,2514,323,0,5459,0,0,0,3019,2629,484,0,3174,68,190,0,219,609,701,0,165,11,13,0,0,0,0,0,0,0,0,0,271,248,59,0,214,6,15,14,1024,649,93,0,316,7,18,25,4834,3492,645,0,4765,53,144,148,1696,1280,554,0,3388,13,25,54,28,38,20,0,107,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,2331,506,0,4505,27,78,4882,3376,865,0,4285,52,125,0,0,0,0,0,0,0,15,13,67,0,0,0,0,42,32,70,0,8,0,0,0,0,0,0,0,0,0,659,476,101,0,760,5,20,992,650,165,0,725,8,18,151,88,8,0,122,0,1,100,78,9,0,75,7,1,2034,1125,7,0,1083,0,0,2522,1155,22,0,910,6,0,23541,243,14,634
28,ANDHRA PRADESH                                    ,2821,KURNOOL                                           ,2012-13,5105,1902,371,0,5562,0,6,0,2864,3135,78,0,2960,0,290,0,39,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,231,177,10,0,141,0,4,25,1063,675,13,0,342,0,13,40,4602,3140,105,0,4036,0,160,239,2032,1012,236,0,3534,0,112,214,42,29,18,0,99,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917,2661,209,0,4961,0,201,4053,2372,173,0,3191,0,89,0,0,0,0,0,0,0,19,13,14,0,32,0,0,19,15,67,0,338,0,6,0,0,0,0,0,0,0,673,422,38,0,654,0,33,693,424,60,0,654,0,9,197,85,9,0,146,0,3,140,74,1,0,87,0,2,2326,793,0,0,959,0,0,1588,578,1,0,646,0,0,21198,506,11,443
28,ANDHRA PRADESH                                    ,2807,MAHBUBNAGAR                                       ,2012-13,5585,2512,221,0,7058,0,9,0,3054,2417,12,0,2853,0,109,0,165,100,0,0,8,0,0,0,4,2,0,0,0,0,1,0,377,240,0,0,270,0,14,87,1252,602,1,0,383,0,27,192,4973,2934,42,0,4478,0,43,572,1695,1087,148,0,4173,0,26,275,50,29,3,0,107,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4285,2790,124,0,6155,0,62,4065,2103,70,0,3256,0,50,1,2,0,0,0,0,0,257,73,12,0,30,0,5,196,61,27,0,478,0,1,0,0,0,0,0,0,0,699,386,21,0,801,0,5,442,253,9,0,389,0,1,357,194,18,0,283,0,4,168,71,3,0,120,0,1,1827,696,0,0,749,0,0,1219,514,0,0,376,0,0,22373,1065,11,261
28,ANDHRA PRADESH                                    ,2804,MEDAK                                             ,2012-13,4102,1646,154,0,28,197,5730,0,1972,2069,40,0,0,377,2057,0,257,224,0,0,0,44,31,0,0,0,0,0,0,0,0,0,167,110,0,0,0,14,94,95,1176,563,3,0,1,24,334,185,3585,2261,27,0,4,217,3691,555,1073,699,132,0,21,245,3286,208,20,21,10,0,2,13,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847,1903,81,0,18,251,4818,3174,1751,91,0,10,262,2675,0,0,0,0,0,0,0,120,114,2,0,0,35,37,189,171,20,0,0,70,288,0,0,0,0,0,0,0,450,260,15,0,1,28,498,439,211,13,0,0,23,371,222,88,2,0,0,11,196,87,40,3,0,0,2,60,1133,514,0,0,1,0,583,938,362,0,0,0,0,264,17314,902,13,286
28,ANDHRA PRADESH                                    ,2808,NALGONDA                                          ,2012-13,5778,1433,327,0,6555,0,0,0,2256,1393,13,0,2764,15,22,0,146,108,44,0,25,3,1,0,0,0,0,0,0,0,0,0,79,30,1,0,74,0,0,32,889,245,4,0,245,0,0,84,4667,1757,40,0,4369,14,18,270,2290,871,258,0,4307,4,4,184,31,14,9,0,88,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4624,1741,185,0,6335,15,15,3332,1176,127,0,2748,3,8,0,0,0,0,0,0,0,100,10,29,0,16,0,0,124,7,43,0,245,0,0,0,0,0,0,0,0,0,693,263,40,0,778,6,2,492,185,34,0,438,3,1,388,94,24,0,273,0,1,146,34,2,0,158,0,0,3109,681,1,0,1769,0,1,1827,427,0,0,866,0,0,20004,466,9,212
