,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,,,,,,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Grossness,,Enrolment by medium of instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,28,ANDHRA PRADESH                                    ,2814,EAST GODAVARI                                     ,183269,43096,2812,118,0,13555,124043,0,101920,80477,529,0,304,12728,57451,0,158083,40932,1732,118,0,11495,102183,0,53286,52804,126,0,304,4058,22224,0,75445,76830,77794,75200,73260,72873,70002,66303,74931,74670,76104,76379,75821,72623,69609,65824,88624,87813,84444,82877,83925,79006,73167,66563,84487,86266,86638,81706,82061,79774,76802,68188,80117,81182,83723,82795,79414,78156,78439,72286,85873,46278,42182,23061,23843,11732,10768,5471,0,0,99.77,0,0,83.55,0,0,167.79,0,0,126.21,143772,61788,1794,68,159,313231,38987,39296,40635,40690,39272,38596,39481,36274,637,568,605,505,713,359,307,265,486,465,418,447,539,314,259,233,684875,345734,194104,54007,0,118,304,9426,103810,96134,75531,3341,,0,19262,79152,594,329,0,0,0,0,0,345,392,402,315,271,317,284,239,5307,2732,2454,1382,176954,97817,86681,49149
2012-13,28,ANDHRA PRADESH                                    ,2817,GUNTUR                                            ,150932,44585,6898,0,82112,,0,0,75736,32198,5001,0,57450,4101,2668,0,127611,40100,5597,0,66950,0,0,0,42420,15810,1260,0,25196,1490,196,0,60785,59577,59234,56048,53992,54709,51884,47445,62250,59187,59149,57736,57649,54073,51542,48035,80944,75341,72105,69087,70287,65872,60946,54516,78252,75942,73486,68198,68397,67227,64468,55660,79882,74883,74877,71332,69182,66551,67133,59585,93086,46993,45706,22710,33518,16274,11227,5238,0,0,95.12,0,0,73.76,0,0,164.68,0,0,116.26,123480,51122,26409,0,69224,274195,38444,36534,36860,34802,33946,32171,32542,28896,1141,1087,1043,1000,925,465,500,430,874,864,890,855,740,471,512,440,640865,304622,173965,59165,9540,0,85545,302,417,61937,43784,48265,,56811,6432,2251,12595,1912,283,0,211,0,0,365,279,214,180,190,236,193,141,40415,18090,20112,9157,127077,64996,62432,32062
2012-13,28,ANDHRA PRADESH                                    ,2805,HYDERABAD                                         ,71152,1587,1687,0,29778,,771,0,233463,64291,36175,0,145073,4741,8930,0,0,0,0,0,0,0,0,0,289,383,389,0,0,0,795,0,93091,88693,87563,84430,81803,82272,79166,67947,84336,81174,79534,78291,75905,73528,71987,62187,89762,86779,83432,81877,80130,75421,71118,63271,88315,86590,84382,81152,79356,76089,73147,62888,85084,83435,83101,80642,78384,74952,72597,64155,40541,20257,20090,10147,11348,5600,4495,2120,0,0,117.77,0,0,93.1,0,0,228.83,0,0,167.64,160805,34953,20596,0,91002,314515,42321,41262,41732,40761,39475,38312,37315,33337,604,591,510,450,445,301,264,271,632,650,639,570,519,405,353,375,797873,381193,238249,61690,38720,0,142318,4618,8597,49714,5634,1046,,14698,314,336,29579,3294,61,0,17764,0,768,229,203,197,225,197,214,229,178,185807,89000,93697,47187,97215,53997,48975,27416
2012-13,28,ANDHRA PRADESH                                    ,2803,KARIMNAGAR                                        ,94536,30964,6444,0,80995,,164,0,106075,65313,0,0,70031,411,3431,0,84325,29775,5832,0,73314,0,164,0,58318,47197,0,0,35762,100,1536,0,69438,62886,64666,67500,68999,67496,68091,65648,66377,59945,62107,63870,67440,64958,65237,63254,64623,59694,60417,62558,65713,66061,66515,63375,64982,58233,59334,59790,63027,62334,65473,62218,58859,54161,54894,55644,58469,58392,60933,61173,56615,37004,27373,18543,15328,7273,7906,3938,0,0,104.38,0,0,87.73,0,0,178.81,0,0,144.88,98444,46336,3836,0,75173,225403,27828,25679,26453,27087,28121,28780,30523,30932,369,529,516,376,330,1276,1159,792,275,395,431,351,287,1067,1052,728,483163,298081,117839,45763,1364,0,87490,100,371,80455,48409,5080,,61360,311,3224,4902,3379,0,0,2478,0,0,507,577,624,563,622,590,468,502,21412,11422,10750,5928,170410,110747,81200,55576
2012-13,28,ANDHRA PRADESH                                    ,2810,KHAMMAM                                           ,112144,44555,9280,0,67604,,0,0,62623,26319,2454,0,35899,199,1281,0,103048,42040,8348,0,58308,0,0,0,27258,15567,197,0,16013,0,660,0,55945,48973,47532,46414,43911,44313,43980,41963,55394,47031,47563,46565,47004,43092,42042,40095,55228,49327,47790,48158,48747,48258,43457,40433,53648,48421,48741,46765,48805,46946,45681,38940,51491,45928,46329,46713,46434,46125,45709,42444,42959,25521,20969,12540,81936,39872,42062,21389,0,0,105.56,0,0,83.14,0,0,179.8,,0,131.39,86241,35206,7414,0,52250,181890,24930,22401,22534,22597,22673,22886,22569,21300,834,905,921,780,716,310,267,199,665,755,736,607,570,278,247,174,403519,212196,128730,52696,5125,0,69203,0,233,47892,21029,9792,0,34476,534,1048,350,0,0,0,65,0,0,979,694,606,573,576,446,422,279,9824,5402,4805,2608,84738,49933,41329,24794
2012-13,28,ANDHRA PRADESH                                    ,2816,KRISHNA                                           ,97290,41545,6796,0,68509,,340,0,102504,57936,11541,0,59714,2324,6948,0,77991,40755,4915,0,55569,0,340,0,60282,38264,5276,0,29176,489,1714,0,62138,62776,64457,63927,62842,59817,59345,54353,61866,61129,62815,63571,64483,57918,57710,52615,68336,66484,65193,65859,68145,62037,58644,53097,66115,65195,64802,62648,64906,61672,59657,51683,65339,62525,63367,61775,61719,62242,62251,56075,79146,44114,38994,22052,16692,8256,7101,3439,0,0,94.03,0,0,77.83,0,0,161.14,,0,122.84,100962,54015,19215,0,64506,244001,31499,30624,31114,30369,30445,30916,31006,28028,751,828,892,897,874,649,620,568,496,616,712,746,784,622,650,592,539351,284986,123450,62273,3537,0,66891,98,1381,75948,47402,33625,0,63876,3389,6269,5547,848,0,0,264,0,96,39,37,22,33,26,95,76,84,19627,10456,9639,5306,131419,74820,64154,37667
2012-13,28,ANDHRA PRADESH                                    ,2821,KURNOOL                                           ,182112,76209,7618,145,93670,200,430,0,93807,70043,1075,0,49909,85,6132,0,157188,72527,5102,53,77443,0,430,0,48401,41385,264,0,19509,85,3106,0,85424,82187,78728,73486,69952,62828,60223,51949,83442,79932,78331,74127,71699,61576,59287,52163,84116,82059,78070,75232,73815,63822,58583,50915,84895,84311,81467,76291,74963,65190,62089,51654,82630,81997,81475,77705,74368,66791,64775,57137,84212,39962,40977,19088,11706,5715,5401,2535,0,0,99.16,0,0,72.71,0,0,177.9,,0,114.2,137097,70084,5183,145,67427,282647,39672,39952,39729,37879,36078,31727,30892,26718,799,778,816,752,773,403,420,365,574,671,666,565,576,359,374,328,714373,296370,185388,90863,0,145,82539,0,994,73476,50072,9078,0,56185,285,5568,16966,4545,0,0,3761,0,0,66,36,27,25,24,17,1,0,67944,28391,34434,14560,206234,94731,99885,44107
2012-13,28,ANDHRA PRADESH                                    ,2807,MAHBUBNAGAR                                       ,189441,88224,5852,0,100846,316,759,0,83117,55097,59,0,40279,0,2159,0,178684,88081,5613,0,91406,0,759,0,54650,45820,59,0,23707,0,1469,0,103610,77246,71711,65554,62986,57608,58287,54119,108319,80419,74217,68974,64213,58390,55337,53331,104951,83821,75358,68818,66286,59251,55269,50103,104381,83237,78186,70595,67157,63794,58689,52051,96429,80914,77534,72376,67717,64954,61244,53169,74745,34419,36678,17047,50235,23854,17022,7725,0,0,93.21,0,0,67.88,0,0,157.66,,0,108.01,137136,69348,3225,0,69028,280240,46626,40095,38130,35192,32810,32080,29636,25671,871,751,740,647,667,326,339,221,672,611,565,498,612,340,320,191,668081,285390,206055,107295,1784,0,97938,0,932,58182,35247,4127,0,39434,316,1812,13871,2318,0,0,3683,0,174,993,193,162,121,99,259,160,154,32133,13771,16535,7089,217891,102238,106434,49834
2012-13,28,ANDHRA PRADESH                                    ,2804,MEDAK                                             ,136137,54204,2977,0,228,4523,79506,0,57953,43270,231,0,0,11086,31455,0,127040,51387,2977,0,228,3479,71550,0,27497,30478,231,0,0,8076,14275,0,75224,54279,52803,50641,49952,49584,48664,46970,76877,54671,52788,51427,51497,47374,46988,45121,74736,60005,55813,53460,53657,48966,46716,43967,70332,59979,58583,54408,53453,51089,50155,44862,63610,57633,56345,54845,52465,50013,49819,46317,54359,29294,26607,14761,29583,14104,9230,4036,0,0,100.31,0,0,78.92,0,0,170.25,0,0,129.54,97009,48938,2019,0,83,211107,30417,28074,27389,26713,25614,24775,24930,23195,597,611,487,514,539,247,226,193,365,450,414,347,388,221,203,178,483549,239891,139556,57875,1241,0,0,1915,70049,49227,34124,1967,0,228,14504,36874,9205,9161,0,0,0,120,4246,932,127,100,72,57,46,26,6,35691,16482,17348,8712,161570,86493,79117,43554
2012-13,28,ANDHRA PRADESH                                    ,2808,NALGONDA                                          ,131659,34546,6940,0,82776,138,115,0,100719,40868,453,0,55384,1623,1422,0,122064,32385,4701,0,70862,0,115,0,45723,25198,283,0,24351,146,465,0,79229,60123,59267,58267,58141,56076,58338,56695,78180,59344,57659,57114,58647,54040,53761,53220,78238,63908,59070,57503,59367,56860,55860,52439,77188,63032,60531,56720,57112,56319,56935,52104,70479,61445,59497,57110,55229,54448,55789,52693,62124,34114,30676,17167,49169,23280,19777,9186,0,0,103.35,0,0,81.03,0,0,175.99,0,0,132.33,115110,37247,5208,0,67533,226803,33540,29594,28848,27741,26943,26738,27352,26047,1006,963,961,709,717,451,460,415,747,794,755,561,572,425,378,411,517229,266071,158620,44133,1084,0,87419,146,541,74667,34268,8189,0,50668,1710,1325,2606,773,,0,541,0,0,988,86,67,57,44,217,214,209,15734,7895,7710,3976,162256,91076,78610,45088
